"","row_identifier","latitude","longitude","bio13","bio14","bio5","gsl","mean_forest_combined","mean_wetland_combined","mean_urban_combined","mean_mining_combined","diff_forest_combined","diff_wetland_combined","diff_urban_combined","diff_mining_combined","focal"
"110",711,-14.62,-57.5,32.25,1.23999996185303,-269.995000076294,348,4.32889785766602e-05,0.0726684601374127,0.798861170294045,0,0.000865779571533205,-0.116441628434484,0.128560442689665,0,1
"111",712,-14.57,-54.57,29.4299987792969,0.379999995231628,-269.945000076294,309,0.0142882739898681,0,0,0,0.00562867797851561,0,0,0,1
"112",713,-14.538,-67.717,24.5,4.87999992370606,-270.185000038147,365,0.971743603210453,0,0,0,0,0,0,0,1
"113",714,-14.476,-59.609,24.7300003051758,0.889999961853027,-269.925,317,0.0482967335540772,0.000909617768859865,0,0,-0.187125724609375,0.00129945446777344,0,0,1
"114",715,-14.41,-56.45,31.6100006103516,0.8,-269.915000152588,336,0.010811620680566,0,0.684159050562428,0,-0.0073659412841797,0,0.0710309420636369,0,1
"115",716,-14.28,-59.35,34.65,1.21999998092651,-270.295000076294,359,0,0,0,0,0,0,0,0,1
"116",717,-14.05,-52.16,33.5600006103516,0.170000004768372,-269.865000152588,324,0,0,0.979417640337767,0,0,0,0,0,1
"117",718,-13.83,-56.08,34.6700012207031,0.559999990463257,-270.004999923706,334,0.0011128122999483,0,0.548762236402445,0,0.0053196253767425,0,0.149047157921528,0,1
"118",719,-13.81,-55.26,32.7700012207031,0.3,-270.004999923706,325,0,0,0,0,0,0,0,0,1
"119",720,-13.8,-47.5,35.7600006103516,0.179999995231628,-270.085000038147,333,0.944287107011251,0,0,0,0.00260649414062497,0,0,0,1
"120",721,-13.67,-57.88,34.6600006103516,0.740000009536743,-270.135000038147,346,0,0,0.0864532924697874,0,0,0,0.0273833589172364,0,1
"121",723,-13.66,-59.79,37.4,1.25,-270.204999923706,365,0,0,0.957320767401036,0,0,0,0.0013039821777342,0,1
"122",724,-13.511,-39.703,10.0599998474121,5.05,-270.314999961853,266,0.573103634655905,0,0,0,0.150914296612189,0,0,0,1
"123",725,-13.44,-49.15,30.1100006103516,0.0800000011920929,-269.765000152588,298,0.00115114036847283,0,0.917040698193905,0,-0.000435068328857422,0,0.0155358245615054,0,1
"124",726,-13.367,-39.071,23.9800003051758,9.64000015258789,-270.245000076294,365,0,0.00107074357991536,0.849375566920954,0,0,-0.000870393249511719,0.0837374977866957,0,1
"125",727,-13.268,-39.67,9.93000030517578,4.82000007629395,-270.304999923706,242,0.117464659708467,0.000834544889849494,0.024912784573843,0,-0.110943286819278,0,0.0399958265634574,0,1
"126",728,-13.242,-53.08,33.5799987792969,0.189999997615814,-269.845000076294,325,0.0967585244089643,0,0,0,-0.970633076731245,0,0,0,1
"127",729,-13.24,-53.08,33.4100006103516,0.179999995231628,-269.845000076294,322,0.0974129294600181,0,0,0,-0.978830045264148,0,0,0,1
"128",730,-13.05,-55.91,30.0100006103516,0.3,-269.925,319,0.0966242579901722,0,0.478134376149167,0,0.0138805888580921,0,0.0423097300337248,0,1
"129",731,-13.01,-57.06,42.2799987792969,0.469999980926514,-269.945000076294,327,0.320646130960083,0,0,0,-0.503362723083497,0,0,0,1
"130",732,-13.01,-55.26,33.1700012207031,0.340000009536743,-269.925,320,0.632966493617787,0.00618850029907226,0,0,-0.132484804992675,0,0,0,1
"131",733,-12.994,-38.489,28.7399993896484,5.97999992370606,-270.404999923706,365,0.0504518394800523,0.00991077788635254,0.756661075379016,0,-0.0433367302669749,-0.00469673883487477,0.12113112360337,0,1
"132",734,-12.989,-58.764,36.7200012207031,0.630000019073486,-270.004999923706,336,0.44978468774444,0,0,0,0.0260173931127212,0,0,0,1
"133",735,-12.925,-48.425,33.3100006103516,0.05,-269.865000152588,307,0.092814235723123,0,0,0,-0.0120393939365762,0,0,0,1
"134",736,-12.92,-51.82,29.8700012207031,0.0800000011920929,-269.784999847412,315,0.00603799098510742,0,0.0017438232421875,0,0.00130786944580078,0,0,0,1
"135",737,-12.842,-69.342,39.2399993896484,4.97999992370606,-270.214999961853,365,0.0705445261520444,0,0,0,0.345141362314021,0,0,0,1
"136",738,-12.833,-51.798,30.8700012207031,0.0899999976158142,-269.745000076294,318,0.406741985835511,0.000218052645874023,0,0,-0.00654127444458007,-0.00436105291748047,0,0,1
"137",739,-12.754,-48.28,24.5899993896484,0.0300000011920929,-269.684999847412,284,0.12782753111163,0.00283560738677978,0,0,0.0364808001590503,0,0,0,1
"138",740,-12.741,-60.146,32.3600006103516,1,-270.125,351,0,0,0.970849521281887,0,0,0,0,0,1
"139",741,-12.737,-48.244,23.8800003051758,0.0300000011920929,-269.684999847412,284,0.114419968089247,0,0,0,0.122857156870763,0,0,0,1
"140",742,-12.68,-73.33,28.4,2.83999996185303,-270.275,365,0.796585055200581,0,0,0,-0.230590678436642,0,0,0,1
"141",743,-12.667,-48.241,24.1800003051758,0.0300000011920929,-269.704999923706,286,0.107482193101501,0,0,0,0.0240012973022461,0,0,0,1
"142",744,-12.6,-38.967,14.2199996948242,5.55,-270.104999923706,339,0.0476584605910716,0.011893263411219,0.616628000278536,0,-0.0238213935116038,-0.00611108172607422,0.157716619341682,0,1
"143",745,-12.575,-55.784,29.2,0.3,-269.884999847412,313,0.858528202891695,0,0,0,-0.0023089608088483,0,0,0,1
"144",746,-12.55,-55.71,30.5899993896484,0.320000004768372,-269.904999923706,316,0,0,0.967598626342473,0,0,0,0.00617047658081055,0,1
"145",747,-12.52,-48.214,23.7899993896484,0.0300000011920929,-269.704999923706,287,0.0575575812531356,0.000305640756225586,0,0,-0.0167104525236242,0,0,0,1
"146",748,-12.445,-64.227,26,1.92999992370605,-269.975,349,0.0646877244939109,0.0131680749206543,0.727685944779726,0,0.0246687381829954,0,0.000873515808105462,0,1
"147",749,-12.43,-38.327,24.0699996948242,6.90999984741211,-269.945000076294,346,0,0,0.67354525644955,0,0,0,0.118756977520875,0,1
"148",750,-12.39,-54.92,32.6299987792969,0.440000009536743,-269.884999847412,321,0.178464216530834,0,0,0,-0.446014427604406,0,0,0,1
"149",751,-12.386,-54.92,32.25,0.430000019073486,-269.865000152588,321,0.0589823036884553,0,0,0,-0.0144822396908031,0,0,0,1
"150",755,-12.244,-48.398,24.8,0.0600000023841858,-269.665000152588,286,0.239612496657253,0.0153929252046772,0,0,-0.0163345473172057,-0.00343322464348288,0,0,1
"151",756,-12.155,-57.979,37.8100006103516,0.5,-269.915000152588,327,0.769576724379853,0,0,0,-0.247312074538762,0,0,0,1
